sweep_group,target_value,match_id,category,exact,within_2,within_5,within_25,within_50,valid,mean_diff
KD,0.5,J03WN1,minor,0.7948717948717948,0.7948717948717948,0.8205128205128205,0.9102564102564102,0.9102564102564102,1.0,9.076923076923077
KD,0.5,J03WN1,event_start,0.9253731343283582,0.9323383084577115,0.96318407960199,0.9781094527363184,0.9830845771144279,0.9980099502487563,1.695912263210369
KD,0.5,J03WN1,event_end,0.9168646080760094,0.9263657957244655,0.9311163895486936,0.9560570071258907,0.9691211401425178,0.9893111638954869,2.168878166465621
KD,0.5,J03WN1,total,0.9214943151055766,0.9296155928532756,0.9485652409312398,0.9680563075257174,0.9767190037899296,0.9940443963183541,1.8944233892799134
KD,0.5,J03WPY,pass_like,0.9698924731182795,0.9817204301075269,0.9838709677419355,0.9849462365591398,0.986021505376344,0.9967741935483871,1.429341963322546
KD,0.5,J03WPY,set_piece,0.6444444444444445,0.6444444444444445,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9883720930232558
KD,0.5,J03WPY,incoming,0.86,0.86,0.86,0.89,0.95,1.0,9.91
KD,0.5,J03WPY,minor,0.8571428571428571,0.873015873015873,0.873015873015873,0.9523809523809523,0.9682539682539683,1.0,5.650793650793651
KD,0.5,J03WPY,event_start,0.9298393913778529,0.9399830938292477,0.9653423499577346,0.9729501267962807,0.9797125950972105,0.9940828402366864,2.3443877551020407
KD,0.5,J03WPY,event_end,0.9294117647058824,0.942156862745098,0.9441176470588235,0.9558823529411765,0.9656862745098039,0.9803921568627451,1.8188188188188188
KD,0.5,J03WPY,total,0.9296413980935089,0.94098955969133,0.9555152065365411,0.9650476622787109,0.9732183386291421,0.9877439854743532,2.076259645937358
KD,0.5,ALL,pass_like,0.9721189591078067,0.9799256505576208,0.9840148698884759,0.9873605947955391,0.9895910780669145,0.9985130111524163,0.9717279200525469
KD,0.5,ALL,set_piece,0.6382978723404256,0.6382978723404256,0.9787234042553191,0.9822695035460993,0.9822695035460993,0.9822695035460993,1.084828274746369
KD,0.5,ALL,incoming,0.888135593220339,0.8915254237288136,0.8949152542372881,0.9220338983050848,0.9559322033898305,0.9966101694915255,5.608151735270379
KD,0.5,ALL,minor,0.8138528138528138,0.8181818181818182,0.8268398268398268,0.9264069264069265,0.948051948051948,1.0,6.878787878787879
KD,0.5,ALL,event_start,0.9276729559748428,0.9342481417953116,0.9656946826758147,0.9774156660949114,0.9834190966266438,0.9971412235563178,1.764178138529249
KD,0.5,ALL,event_end,0.9283310901749664,0.9377523553162853,0.9421265141318977,0.9602960969044414,0.971736204576043,0.9875504710632571,1.8946683202297727
KD,0.5,ALL,total,0.9279752704791344,0.9358578052550232,0.9548686244204019,0.9695517774343122,0.9780525502318392,0.9927357032457497,1.8078825347758887
PBDS,0.0,J03WMX,pass_like,0.9605133267522211,0.9644619940769991,0.9772951628825272,0.9881539980256664,0.9901283316880553,0.9990128331688055,0.9011857707509882
PBDS,0.0,J03WMX,set_piece,0.23711340206185566,0.24742268041237114,1.0,1.0,1.0,1.0,2.350515463917526
PBDS,0.0,J03WMX,incoming,0.8818181818181818,0.8818181818181818,0.9181818181818182,0.9636363636363636,0.9636363636363636,1.0,2.8454545454545452
PBDS,0.0,J03WMX,minor,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9555555555555556,0.9888888888888889,1.0,2.3666666666666667
PBDS,0.0,J03WMX,event_start,0.8969465648854962,0.9007633587786259,0.9694656488549618,0.9847328244274809,0.9885496183206107,0.999236641221374,1.2727272727272727
PBDS,0.0,J03WMX,event_end,0.9234234234234234,0.9306306306306307,0.9396396396396396,0.9711711711711711,0.9828828828828828,0.9927927927927928,1.6309090909090909
PBDS,0.0,J03WMX,total,0.9090909090909091,0.9144628099173554,0.9557851239669422,0.9785123966942149,0.9859504132231405,0.9962809917355372,1.4297520661157024
PBDS,0.0,J03WN1,pass_like,0.9665327978580991,0.9732262382864793,0.9785809906291834,0.9906291834002677,0.9933065595716198,1.0,0.7764390896921017
PBDS,0.0,J03WN1,set_piece,0.3368421052631579,0.3368421052631579,0.968421052631579,0.9894736842105263,0.9894736842105263,0.9894736842105263,2.1808510638297873
PBDS,0.0,J03WN1,incoming,0.8823529411764706,0.8941176470588236,0.9058823529411765,0.9294117647058824,0.9647058823529412,0.9882352941176471,2.9285714285714284
PBDS,0.0,J03WN1,minor,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,1.0,5.346153846153846
PBDS,0.0,J03WN1,event_start,0.8985074626865671,0.9044776119402985,0.9691542288557214,0.982089552238806,0.9870646766169154,0.9980099502487563,1.4436689930209372
PBDS,0.0,J03WN1,event_end,0.9061757719714965,0.9156769596199525,0.9228028503562945,0.9501187648456056,0.9667458432304038,0.9893111638954869,2.3437876960193003
PBDS,0.0,J03WN1,total,0.902003248511099,0.9095831077422848,0.9480238224147266,0.9675148890092041,0.9778018408229562,0.9940443963183541,1.8359501894964807
PBDS,0.0,J03WPY,pass_like,0.9634408602150538,0.9741935483870968,0.9763440860215054,0.9827956989247312,0.9870967741935484,0.9967741935483871,1.4563106796116505
PBDS,0.0,J03WPY,set_piece,0.2777777777777778,0.2777777777777778,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,2.244186046511628
PBDS,0.0,J03WPY,incoming,0.84,0.85,0.87,0.89,0.94,1.0,13.87
PBDS,0.0,J03WPY,minor,0.8571428571428571,0.873015873015873,0.873015873015873,0.9365079365079365,0.9523809523809523,1.0,6.222222222222222
PBDS,0.0,J03WPY,event_start,0.8951817413355875,0.9053254437869822,0.9602704987320372,0.9704142011834319,0.9788672865595942,0.9940828402366864,2.824829931972789
PBDS,0.0,J03WPY,event_end,0.9196078431372549,0.9352941176470588,0.9382352941176471,0.9480392156862745,0.961764705882353,0.9803921568627451,2.6476476476476476
PBDS,0.0,J03WPY,total,0.9064911484339537,0.9192010894235134,0.9500680889695869,0.9600544711756696,0.9709487063095779,0.9877439854743532,2.7085792101679527
PBDS,0.0,ALL,pass_like,0.9631970260223048,0.9702602230483272,0.9773234200743495,0.9869888475836431,0.9899628252788104,0.9985130111524163,1.058464727810255
PBDS,0.0,ALL,set_piece,0.28368794326241137,0.2872340425531915,0.975177304964539,0.9822695035460993,0.9822695035460993,0.9822695035460993,2.259424096630767
